Sample_ID	ClientName	SampleNumber	date_sampled	sample_matrix	technology	projectName	SampleName	LocationLat	LocationLon	LocationName	projectLink	AlternateName
3474	FSES Laboratory	A221718	11/18/22 8:53	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_O_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3564	FSES Laboratory	A221719	11/18/22 8:30	PSD-Air	LDPE	St. Helens Air 2021-2023	MP_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3579	FSES Laboratory	A221720	11/18/22 9:02	PSD-Air	LDPE	St. Helens Air 2021-2023	EO_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3423	FSES Laboratory	A221721	11/18/22 8:20	PSD-Air	LDPE	St. Helens Air 2021-2023	RC_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3572	FSES Laboratory	A221722	11/18/22 8:00	PSD-Air	LDPE	St. Helens Air 2021-2023	C_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3429	FSES Laboratory	A221723	11/18/22 8:05	PSD-Air	LDPE	St. Helens Air 2021-2023	NW10_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3507	FSES Laboratory	A221725	11/18/22 7:55	PSD-Air	LDPE	St. Helens Air 2021-2023	SW10_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3459	FSES Laboratory	A221727	11/18/22 10:00	PSD-Air	LDPE	St. Helens Air 2021-2023	L_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3566	FSES Laboratory	A221728	11/18/22 9:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_I_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3527	FSES Laboratory	A221785	11/17/22 7:45	PSD-Air	LDPE	St. Helens Air 2021-2023	SH001_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3433	FSES Laboratory	A221787	11/17/22 11:52	PSD-Air	LDPE	St. Helens Air 2021-2023	SH002_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3461	FSES Laboratory	A221789	11/17/22 8:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH003_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3512	FSES Laboratory	A221791	11/17/22 8:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH004_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3448	FSES Laboratory	A221793	11/17/22 14:05	PSD-Air	LDPE	St. Helens Air 2021-2023	SH005_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3556	FSES Laboratory	A221795	11/17/22 9:40	PSD-Air	LDPE	St. Helens Air 2021-2023	SH006_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3416	FSES Laboratory	A221797	11/17/22 12:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH008_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3582	FSES Laboratory	A221799	11/17/22 22:30	PSD-Air	LDPE	St. Helens Air 2021-2023	SH009_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3478	FSES Laboratory	A221815	11/17/22 18:40	PSD-Air	LDPE	St. Helens Air 2021-2023	SH010_A_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3470	FSES Laboratory	A221880	11/17/22 18:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SHS_O_02	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3560	FSES Laboratory	A221898	12/12/22 10:05	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_I_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3547	FSES Laboratory	A221899	12/12/22 10:01	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_O_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3408	FSES Laboratory	A221900	12/12/22 9:34	PSD-Air	LDPE	St. Helens Air 2021-2023	EO_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3472	FSES Laboratory	A221902	12/12/22 11:28	PSD-Air	LDPE	St. Helens Air 2021-2023	NW10_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3555	FSES Laboratory	A221904	12/12/22 11:10	PSD-Air	LDPE	St. Helens Air 2021-2023	SW10_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3576	FSES Laboratory	A221905	12/12/22 11:25	PSD-Air	LDPE	St. Helens Air 2021-2023	C_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3427	FSES Laboratory	A221906	12/12/22 10:15	PSD-Air	LDPE	St. Helens Air 2021-2023	L_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3450	FSES Laboratory	A221907	12/12/22 10:33	PSD-Air	LDPE	St. Helens Air 2021-2023	MP_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3549	FSES Laboratory	A221908	12/12/22 10:48	PSD-Air	LDPE	St. Helens Air 2021-2023	RC_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3484	FSES Laboratory	A230088	12/12/22 0:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SHS_O_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3466	FSES Laboratory	A230089	12/12/22 16:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH019_A_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3456	FSES Laboratory	A230091	12/12/22 7:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH020_A_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3498	FSES Laboratory	A230093	12/12/22 16:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH021_A_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3588	FSES Laboratory	A230095	12/12/22 11:10	PSD-Air	LDPE	St. Helens Air 2021-2023	SH024_A_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3425	FSES Laboratory	A230097	12/12/22 8:10	PSD-Air	LDPE	St. Helens Air 2021-2023	SH025_A_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3469	FSES Laboratory	A230099	12/12/22 13:56	PSD-Air	LDPE	St. Helens Air 2021-2023	SH026_A_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3528	FSES Laboratory	A230101	12/12/22 19:30	PSD-Air	LDPE	St. Helens Air 2021-2023	SH027_A_03	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3590	FSES Laboratory	A230158	1/18/23 11:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH007_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3419	FSES Laboratory	A230121	1/19/23 9:43	PSD-Air	LDPE	St. Helens Air 2021-2023	C_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3445	FSES Laboratory	A230122	1/19/23 9:46	PSD-Air	LDPE	St. Helens Air 2021-2023	NW10_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3529	FSES Laboratory	A230124	1/19/23 9:39	PSD-Air	LDPE	St. Helens Air 2021-2023	SW10_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3539	FSES Laboratory	A230126	1/19/23 10:09	PSD-Air	LDPE	St. Helens Air 2021-2023	RC_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3451	FSES Laboratory	A230127	1/19/23 10:19	PSD-Air	LDPE	St. Helens Air 2021-2023	MP_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3578	FSES Laboratory	A230128	1/19/23 10:56	PSD-Air	LDPE	St. Helens Air 2021-2023	EO_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3530	FSES Laboratory	A230129	1/19/23 10:47	PSD-Air	LDPE	St. Helens Air 2021-2023	SMS_O_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3424	FSES Laboratory	A230130	1/19/23 10:34	PSD-Air	LDPE	St. Helens Air 2021-2023	L_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3571	FSES Laboratory	A230146	1/19/23 11:30	PSD-Air	LDPE	St. Helens Air 2021-2023	SH001_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3497	FSES Laboratory	A230148	1/19/23 17:24	PSD-Air	LDPE	St. Helens Air 2021-2023	SH002_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3422	FSES Laboratory	A230150	1/19/23 8:30	PSD-Air	LDPE	St. Helens Air 2021-2023	SH003_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3557	FSES Laboratory	A230152	1/19/23 8:00	PSD-Air	LDPE	St. Helens Air 2021-2023	SH004_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3457	FSES Laboratory	A230154	1/19/23 14:25	PSD-Air	LDPE	St. Helens Air 2021-2023	SH005_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3492	FSES Laboratory	A230156	1/19/23 17:17	PSD-Air	LDPE	St. Helens Air 2021-2023	SH006_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
3587	FSES Laboratory	A230160	1/19/23 10:15	PSD-Air	LDPE	St. Helens Air 2021-2023	SH008_A_04	45.8599558	-122.8209145	St. Helens, OR	https://superfund.oregonstate.edu/community-topics/st-helens-air-quality	NULL
