chemical.id,plate.id,well,chemical_plate_well,conc,AXIS,BRAI,CFIN,CIRC,DNC_,DP24,EYE_,JAW_,MO24,MORT,NC24,NC__,OTIC,PE__,PFIN,PIG_,SM24,SNOU,SOMI,SWIM,TRUN,TR__,YSE_
1608,2,A09,1608_2_A09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1608,2,E01,1608_2_E01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1608,2,F12,1608_2_F12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1608,2,G06,1608_2_G06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,A02,1627_1_A02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,A06,1627_1_A06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,A10,1627_1_A10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,B03,1627_1_B03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,B11,1627_1_B11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,C06,1627_1_C06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,D02,1627_1_D02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,D04,1627_1_D04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,E05,1627_1_E05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,E07,1627_1_E07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,F02,1627_1_F02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,F11,1627_1_F11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,1,F12,1627_1_F12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,B03,1627_2_B03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,B06,1627_2_B06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,B07,1627_2_B07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,D04,1627_2_D04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,E10,1627_2_E10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,F02,1627_2_F02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,F08,1627_2_F08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,G07,1627_2_G07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,H08,1627_2_H08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1627,2,H09,1627_2_H09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1631,1,A11,1631_1_A11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1631,1,D04,1631_1_D04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1631,1,F03,1631_1_F03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1631,1,H12,1631_1_H12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
