Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,ids
418,MOV3,Gamma,0.018662665391241166,0.00272074642457575,27.245579792373945,1.7771875,0.0,5.0,0.35543749999999996,2,0.0,0.0,1.0,418 MOV3
419,AUC1,Quantal Linear,3.643901068294507,2.4666779333997098,23.972545464094775,38.096875,0.0,50.0,0.7619374999999999,2,0.0,0.0,0.0,419 AUC1
419,MOV2,Quantal Linear,24.78540081313064,11.622392417426763,163.05852895086448,17.3375,0.0,50.0,0.34674999999999995,4,0.0,0.0,1.0,419 MOV2
419,MOV3,Log Probit,2.1150207681844286e-24,,446328052014771.5,15.465625,0.0,50.0,0.3093125,4,0.0,1.0,1.0,419 MOV3
420,MOV2,Logistic,40.0278911476128,24.42082484944507,131.74223389972073,7.375,0.0,50.0,0.1475,4,0.0,0.0,1.0,420 MOV2
420,MOV3,Quantal Linear,93.97700891354933,21.252948747371132,618.2572129528573,12.55,0.0,50.0,0.251,4,0.0,1.0,1.0,420 MOV3
441,AUC2,Log Probit,0.07732965343774695,0.015420502348051202,2.16368050921193,52.36805555555556,0.0,67.0,0.7816127694859039,3,0.0,0.0,0.0,441 AUC2
441,AUC3,Log Logistic,0.11723272862323036,0.0300959826576031,2.1362507861697733,53.31944444444444,0.0,67.0,0.7958126036484245,3,0.0,0.0,0.0,441 AUC3
441,AUC4,Log Logistic,0.08180241490685791,0.015796793244861315,2.1170559496277295,53.625,0.0,67.0,0.8003731343283582,3,0.0,0.0,0.0,441 AUC4
443,AUC2,Log Logistic,0.6518777007852656,,2292813.5656464538,15.618055555555554,0.0,67.0,0.2331053067993366,4,0.0,0.0,1.0,443 AUC2
443,AUC3,Log Probit,7.10277552158086e-14,,82682489486.49051,19.77777777777778,0.0,67.0,0.29519071310116085,3,0.0,0.0,1.0,443 AUC3
443,AUC4,Weibull,2.4906510866430295e-21,,902188442350.9032,21.01388888888889,0.0,67.0,0.3136401326699834,4,0.0,1.0,1.0,443 AUC4
443,MOV1,Quantal Linear,148.34796676376072,52.65429267097765,975.953603321826,3.3750000000000004,0.0,67.0,0.050373134328358216,4,0.0,1.0,1.0,443 MOV1
443,MOV2,Quantal Linear,182.39227541639306,55.21474165185529,1199.924759967658,3.6111111111111107,0.0,67.0,0.0538971807628524,4,0.0,1.0,1.0,443 MOV2
443,MOV3,Quantal Linear,534.7797552183574,,3518.216261905772,7.666666666666666,0.0,67.0,0.1144278606965174,4,0.0,1.0,1.0,443 MOV3
443,MOV4,Quantal Linear,117.20080717934829,42.24601239010231,771.042250016557,5.201388888888888,0.0,67.0,0.07763266998341624,4,0.0,1.0,1.0,443 MOV4
447,AUC2,Quantal Linear,2233.1114129213765,,14691.22346334787,6.571875,0.0,50.0,0.1314375,4,0.0,1.0,1.0,447 AUC2
447,AUC3,Quantal Linear,29.188575513160504,15.015129507715283,192.0261940176392,8.60625,0.0,50.0,0.17212499999999997,2,0.0,0.0,1.0,447 AUC3
447,AUC4,Quantal Linear,49.39691706364973,20.272061816309897,324.973103797437,7.1343749999999995,0.0,50.0,0.1426875,2,0.0,0.0,1.0,447 AUC4
447,MOV1,Logistic,61705.44458695812,,216115.3400800366,7.2406250000000005,0.0,50.0,0.1448125,4,0.0,1.0,1.0,447 MOV1
447,MOV2,Log Probit,0.3593044270915801,,16721470103365.957,6.543749999999999,0.0,50.0,0.130875,4,0.0,0.0,1.0,447 MOV2
448,AUC1,Probit,1.1546005944625606,0.6501252639254704,6.446549626855506,3.2934374999999996,0.0,5.0,0.6586874999999999,3,0.0,0.0,1.0,448 AUC1
448,AUC2,Weibull,2.602695470042071e-08,,7.43768305867251,3.6087499999999997,0.0,5.0,0.7217499999999999,4,0.0,0.0,1.0,448 AUC2
448,AUC3,Gamma,3.3706357373907956,2.3981114582415874,4.6446184835343685,2.395625,0.0,5.0,0.47912499999999997,2,0.0,0.0,0.0,448 AUC3
448,AUC4,Log Probit,3.360147755533145,2.2190839077404623,4.38390804706727,2.5324999999999998,0.0,5.0,0.5065,3,0.0,0.0,0.0,448 AUC4
