Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
250,NC__,NULL,NULL,NULL,0,NULL,NULL
250,MO24,NULL,NULL,NULL,0.018875,NULL,NULL
250,DP24,NULL,NULL,NULL,0.011175,NULL,NULL
250,SM24,NULL,NULL,NULL,0,NULL,NULL
250,MORT,NULL,NULL,NULL,0.000645161,NULL,NULL
281,AXIS,NULL,NULL,NULL,0.052284339,NULL,NULL
281,NC__,NULL,NULL,NULL,0,NULL,NULL
281,MO24,NULL,NULL,NULL,0.029169922,NULL,NULL
281,DP24,logistic,74.73,114.796,0.046339674,0,1
281,SM24,NULL,NULL,NULL,0,NULL,NULL
281,MORT,NULL,NULL,NULL,0.049714112,NULL,NULL
283,AXIS,log_logistic,0,0.047,0.475465506,-1,0
283,NC__,NULL,NULL,NULL,0,NULL,NULL
283,MO24,NULL,NULL,NULL,0.014540278,NULL,NULL
283,DP24,NULL,NULL,NULL,0,NULL,NULL
283,SM24,NULL,NULL,NULL,0,NULL,NULL
283,MORT,log_logistic,0.034,0.145,0.741387459,0,0
285,AXIS,logistic,66.512,100.102,0.013221357,1,1
285,NC__,logistic,50.452,51.093,0.004965517,1,1
285,MO24,NULL,NULL,NULL,0.022,NULL,NULL
285,DP24,NULL,NULL,NULL,0,NULL,NULL
285,SM24,NULL,NULL,NULL,0,NULL,NULL
285,MORT,NULL,NULL,NULL,0.0946875,NULL,NULL
286,AXIS,NULL,NULL,NULL,0,NULL,NULL
286,NC__,NULL,NULL,NULL,0,NULL,NULL
286,MO24,NULL,NULL,NULL,0.022,NULL,NULL
286,DP24,NULL,NULL,NULL,0.019529032,NULL,NULL
286,SM24,NULL,NULL,NULL,0,NULL,NULL
286,MORT,NULL,NULL,NULL,0.005012903,NULL,NULL
295,AXIS,NULL,NULL,NULL,0.006719828,NULL,NULL
295,NC__,NULL,NULL,NULL,0,NULL,NULL
295,MO24,NULL,NULL,NULL,0.0321875,NULL,NULL
295,DP24,NULL,NULL,NULL,0,NULL,NULL
295,SM24,NULL,NULL,NULL,0,NULL,NULL
295,MORT,logistic,50.497,51.143,0.0045,1,1
296,AXIS,logistic,135.571,232.193,0.021570565,1,1
296,NC__,NULL,NULL,NULL,0,NULL,NULL
296,MO24,NULL,NULL,NULL,0.0015625,NULL,NULL
296,DP24,NULL,NULL,NULL,0,NULL,NULL
296,SM24,NULL,NULL,NULL,0,NULL,NULL
296,MORT,logistic,50.522,51.2,0.0045,1,1
297,AXIS,logistic,13.094,20.338,0.006528017,1,1
297,NC__,NULL,NULL,NULL,0,NULL,NULL
297,MO24,NULL,NULL,NULL,0.042530242,NULL,NULL
297,DP24,NULL,NULL,NULL,0.011765517,NULL,NULL
297,SM24,NULL,NULL,NULL,0,NULL,NULL
297,MORT,NULL,NULL,NULL,0.0068,NULL,NULL
332,AXIS,NULL,NULL,NULL,0.017872599,NULL,NULL
332,NC__,NULL,NULL,NULL,0,NULL,NULL
332,MO24,NULL,NULL,NULL,0.075007813,NULL,NULL
332,DP24,NULL,NULL,NULL,0.016516129,NULL,NULL
332,SM24,NULL,NULL,NULL,0,NULL,NULL
332,MORT,NULL,NULL,NULL,0.093440625,NULL,NULL
337,AXIS,NULL,NULL,NULL,0.000208333,NULL,NULL
337,NC__,NULL,NULL,NULL,0,NULL,NULL
337,MO24,NULL,NULL,NULL,0.220164063,NULL,NULL
337,DP24,logistic,99.687,190.385,0.057361538,1,1
337,SM24,NULL,NULL,NULL,0,NULL,NULL
337,MORT,NULL,NULL,NULL,0.122903125,NULL,NULL
338,AXIS,NULL,NULL,NULL,0.01470036,NULL,NULL
338,NC__,NULL,NULL,NULL,1.92E-05,NULL,NULL
338,MO24,NULL,NULL,NULL,0.046764063,NULL,NULL
338,DP24,NULL,NULL,NULL,0.000177535,NULL,NULL
338,SM24,NULL,NULL,NULL,0.001596774,NULL,NULL
338,MORT,NULL,NULL,NULL,0.048498438,NULL,NULL
339,AXIS,NULL,NULL,NULL,0.015518966,NULL,NULL
339,NC__,NULL,NULL,NULL,0,NULL,NULL
339,MO24,NULL,NULL,NULL,0.067345313,NULL,NULL
339,DP24,NULL,NULL,NULL,0.000166724,NULL,NULL
339,SM24,NULL,NULL,NULL,0,NULL,NULL
339,MORT,NULL,NULL,NULL,0.067825,NULL,NULL
342,AXIS,NULL,NULL,NULL,0.019038462,NULL,NULL
342,NC__,NULL,NULL,NULL,0,NULL,NULL
342,MO24,NULL,NULL,NULL,0.119032813,NULL,NULL
342,DP24,NULL,NULL,NULL,0.083764683,NULL,NULL
342,SM24,NULL,NULL,NULL,0,NULL,NULL
342,MORT,NULL,NULL,NULL,0.235876563,NULL,NULL
355,AXIS,NULL,NULL,NULL,0.00208578,NULL,NULL
355,NC__,NULL,NULL,NULL,0,NULL,NULL
355,MO24,NULL,NULL,NULL,0.050734375,NULL,NULL
355,DP24,NULL,NULL,NULL,0.002340934,NULL,NULL
355,SM24,NULL,NULL,NULL,0,NULL,NULL
355,MORT,NULL,NULL,NULL,0.17479375,NULL,NULL
357,AXIS,NULL,NULL,NULL,0.03701994,NULL,NULL
357,NC__,logistic,65.731,68.357,0.016666667,1,1
357,MO24,NULL,NULL,NULL,0.062645313,NULL,NULL
357,DP24,logistic,104.789,160.056,0.0315,1,1
357,SM24,NULL,NULL,NULL,0,NULL,NULL
357,MORT,NULL,NULL,NULL,0.140615625,NULL,NULL
360,AXIS,logistic,45.379,68.164,0.039788767,0,1
360,NC__,NULL,NULL,NULL,0.003777778,NULL,NULL
360,MO24,log_probit,224.878,5.36744E+12,0.0615625,1,1
360,DP24,NULL,NULL,NULL,0,NULL,NULL
360,SM24,NULL,NULL,NULL,0,NULL,NULL
360,MORT,probit,63.125,168.926,0.067852137,1,1
362,AXIS,NULL,NULL,NULL,0,NULL,NULL
362,NC__,NULL,NULL,NULL,0,NULL,NULL
362,MO24,NULL,NULL,NULL,0.12793125,NULL,NULL
362,DP24,log_probit,3.2,39.426,0.36352823,0,0
362,SM24,NULL,NULL,NULL,0.001903846,NULL,NULL
362,MORT,probit,15.167,66.663,0.433307813,0,1
363,AXIS,NULL,NULL,NULL,0.000430435,NULL,NULL
