Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,DataQC_Flag,BMD_Analysis_Flag,BMD_Flag,BMD50_Flag
2103,AUC1,quantal_linear,8.197,5.162,53.924,25.001867980295568,0.0,64.0,3,0,0,0
2104,MOV1,NULL,NULL,NULL,NULL,35.338453333333334,0.0,64.0,5,NULL,NULL,NULL
2104,AUC1,gamma,0.001,NULL,32.429,41.39960086021505,0.0,64.0,3,0,1,0
2105,MOV1,NULL,NULL,NULL,NULL,22.87224049513705,0.0,64.0,5,NULL,NULL,NULL
2105,AUC1,log_probit,0.0,NULL,41887.449,23.39773409119616,0.0,64.0,3,0,1,1
2137,MOV1,NULL,NULL,NULL,NULL,21.700726267281105,0.0,64.0,5,NULL,NULL,NULL
2137,AUC1,NULL,NULL,NULL,NULL,9.17601935483871,0.0,64.0,5,NULL,NULL,NULL
2141,MOV1,log_probit,0.022,NULL,29185.113,25.669404057418298,0.0,64.0,4,0,0,1
2141,AUC1,NULL,NULL,NULL,NULL,20.544691265427193,0.0,64.0,5,NULL,NULL,NULL
2154,MOV1,NULL,NULL,NULL,NULL,22.761476603633668,0.0,64.0,5,NULL,NULL,NULL
2154,AUC1,NULL,NULL,NULL,NULL,14.900878902484243,0.0,64.0,5,NULL,NULL,NULL
2156,MOV1,gamma,0.222,NULL,25888.067,19.306299493609842,0.0,64.0,4,0,0,1
2156,AUC1,NULL,NULL,NULL,NULL,6.951553862229725,0.0,64.0,5,NULL,NULL,NULL
2159,MOV1,NULL,NULL,NULL,NULL,40.41819088501633,0.0,64.0,5,NULL,NULL,NULL
2159,AUC1,NULL,NULL,NULL,NULL,24.39826767723471,0.0,64.0,5,NULL,NULL,NULL
2165,MOV1,gamma,0.0,NULL,41.518,46.44944457142857,0.0,64.0,3,0,1,0
2165,AUC1,logistic,3.292,2.065,8.303,39.73155657142857,0.0,64.0,3,0,0,0
2185,MOV1,NULL,NULL,NULL,NULL,14.839567314524556,0.0,64.0,5,NULL,NULL,NULL
2185,AUC1,NULL,NULL,NULL,NULL,5.058892415141403,0.0,64.0,5,NULL,NULL,NULL
2186,MOV1,NULL,NULL,NULL,NULL,13.828842051104584,0.0,64.0,5,NULL,NULL,NULL
2186,AUC1,NULL,NULL,NULL,NULL,3.3117095195991753,0.0,64.0,5,NULL,NULL,NULL
2187,MOV1,NULL,NULL,NULL,NULL,20.818549001221,0.0,64.0,5,NULL,NULL,NULL
2187,AUC1,log_logistic,0.0,NULL,12975660.158,15.75520065120065,0.0,64.0,3,0,1,1
2191,MOV1,NULL,NULL,NULL,NULL,20.574754285714285,0.0,64.0,5,NULL,NULL,NULL
2191,AUC1,NULL,NULL,NULL,NULL,13.806708571428574,0.0,64.0,5,NULL,NULL,NULL
2371,MOV1,log_logistic,0.227,NULL,102.463,30.488677832512316,0.0,64.0,3,0,0,1
2371,AUC1,log_logistic,0.269,NULL,601781711.245,10.72712512315271,0.0,64.0,3,0,0,1
2373,MOV1,NULL,NULL,NULL,NULL,7.922098168498168,0.0,64.0,5,NULL,NULL,NULL
2373,AUC1,NULL,NULL,NULL,NULL,6.267791941391942,0.0,64.0,5,NULL,NULL,NULL
2374,MOV1,quantal_linear,27.37,NULL,180.064,15.687219111323463,0.0,64.0,3,0,0,1
2374,AUC1,NULL,NULL,NULL,NULL,13.765678356426182,0.0,64.0,5,NULL,NULL,NULL
2406,MOV1,NULL,NULL,NULL,NULL,26.827720465608465,0.0,64.0,5,NULL,NULL,NULL
2406,AUC1,log_probit,0.733,NULL,13670.034,16.62370768905169,0.0,64.0,4,0,0,1
2411,MOV1,NULL,NULL,NULL,NULL,16.564108452467075,0.0,64.0,5,NULL,NULL,NULL
2411,AUC1,NULL,NULL,NULL,NULL,14.375810975231666,0.0,64.0,5,NULL,NULL,NULL
2413,MOV1,NULL,NULL,NULL,NULL,15.587841562881563,0.0,64.0,5,NULL,NULL,NULL
2413,AUC1,NULL,NULL,NULL,NULL,5.592471143671143,0.0,64.0,5,NULL,NULL,NULL
2414,MOV1,NULL,NULL,NULL,NULL,27.55017041156841,0.0,64.0,5,NULL,NULL,NULL
