Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,bmdrc.Endpoint.ID
C94834,SWIM,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C94834 SWIM
C94834,TCHR,,,,,0.0625,0.0,2.0,0.03125,0,0,0,0,C94834 TCHR
C94834,TOT_MORT,,,,,0.265625,0.0,2.0,0.1328125,0,0,0,0,C94834 TOT_MORT
C94834,TRUN,,,,,0.12,0.0,2.0,0.06,0,0,0,0,C94834 TRUN
C94834,TR__,,,,,0.08,0.0,2.0,0.04,0,0,0,0,C94834 TR__
C94834,YSE_,,,,,0.6,0.0,2.0,0.3,0,0,0,0,C94834 YSE_
C94979,ANY24,,,,,3.74375,0.0,50.0,0.074875,0,0,0,0,C94979 ANY24
C94979,DP24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C94979 DP24
C94979,MO24,,,,,3.74375,0.0,50.0,0.074875,0,0,0,0,C94979 MO24
C94979,NC24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C94979 NC24
C94979,PIG_,,,,,0.23846153846153845,0.0,50.0,0.004769230769230769,0,0,0,0,C94979 PIG_
C92408,EYE_,,,,,,0.0,50.0,,0,0,0,0,C92408 EYE_
C92408,DP24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C92408 DP24
C85940,BRN_,,,,,1.9812500000000002,0.0,80.0,0.024765625000000003,0,0,0,0,C85940 BRN_
C89598,CIRC,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 CIRC
C88151,NC__,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 NC__
C88151,OTIC,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 OTIC
C88151,PIG_,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 PIG_
C88151,SKIN,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 SKIN
C88151,SM24,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 SM24
C88151,SWIM,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 SWIM
C88151,TRUN,,,,,0.0,0.0,5.0,0.0,0,0,0,0,C88151 TRUN
C89598,ALL_BUT_MORT,,,,,3.81875,0.0,50.0,0.076375,0,0,0,0,C89598 ALL_BUT_MORT
