"cas_number","zf.cid","Chemical_ID","chemical_class"
"4162-45-2","2994",2994,NA
"57-85-2","2992",2992,NA
"56803-37-3","2990",2990,NA
"1948-33-0","2989",2989,NA
"98-06-6","2988",2988,NA
"614-45-9","2987",2987,NA
"5915-41-3","2985",2985,"Herbicide"
"13071-79-9","2984",2984,"Insecticide"
"5902-51-2","2983",2983,"Herbicide"
"149979-41-9","2982",2982,NA
"79538-32-2","2978",2978,"Insecticide"
"34014-18-1","2977",2977,"Herbicide"
"96182-53-5","2976",2976,"Insecticide"
"119168-77-3","2975",2975,"Insecticide"
"112410-23-8","2974",2974,NA
"107534-96-3","2973",2973,"Fungicide"
"1401-55-4","2961",2961,NA
"54965-24-1","2960",2960,NA
"10540-29-1","2959",2959,"Pharmacological"
"87-90-1","2924",2924,NA
"288104-79-0","2923",2923,NA
"NOCAS_0008","2915",2915,NA
"4151-50-2","2913",2913,NA
"122836-35-5","2912",2912,"Herbicide"
"599-79-1","2911",2911,NA
"126-14-7","2910",2910,NA
"57-50-1","2909",2909,NA
"96-09-3","2908",2908,NA
"3056-17-5","2900",2900,NA
"118134-30-8","2897",2897,"Fungicide"
"52-01-7","2896",2896,NA
"148477-71-8","2895",2895,"Insecticide"
"1338-43-8","2894",2894,NA
"110-44-1","2893",2893,NA
"1300-72-7","2889",2889,NA
"650-51-1","2888",2888,NA
"1191-50-0","2887",2887,NA
"7632-00-0","2886",2886,NA
"134-03-2","2885",2885,NA
"1120-01-0","2884",2884,NA
"6381-77-7","2883",2883,NA
"25155-30-0","2882",2882,NA
"151-21-3","2881",2881,NA
"128-04-1","2880",2880,NA
"4418-26-2","2879",2879,NA
"7758-19-2","2878",2878,NA
"532-32-1","2877",2877,NA
"26628-22-8","2876",2876,NA
"136042-19-8","2874",2874,NA
"104795-68-8","2873",2873,NA
"824-78-2","2872",2872,NA
"1061517-62-1","2871",2871,NA
"NOCAS_47383","2870",2870,NA
"NOCAS_47255","2869",2869,NA
"478263-98-8","2868",2868,NA
"3811-73-2","2867",2867,NA
"NOCAS_48514","2866",2866,NA
"NOCAS_48516","2865",2865,NA
"79902-63-9","2850",2850,NA
"122-34-9","2849",2849,"Herbicide"
"7631-86-9","2844",2844,NA
"759-94-4","2839",2839,"Herbicide"
"74051-80-2","2838",2838,NA
"28434-00-6","2834",2834,"Insecticide"
"94-59-7","2827",2827,NA
"82385-42-0","2821",2821,NA
"83-79-4","2813",2813,"Insecticide"
"13292-46-1","2780",2780,NA
"68-26-8","2779",2779,NA
"302-79-4","2778",2778,NA
"483-65-8","2774",2774,"PAH_Alkylated"
"108-46-3","2772",2772,NA
"10453-86-8","2771",2771,"Insecticide"
"50-55-5","2770",2770,NA
"82640-04-8","2764",2764,NA
"76578-14-8","2753",2753,"Herbicide"
"124495-18-7","2752",2752,"Fungicide"
"91-22-5","2751",2751,"PAH_Heterocyclic"
"84087-01-4","2750",2750,NA
"117-39-5","2749",2749,NA
"123343-16-8","2747",2747,NA
"95737-68-1","2746",2746,"Insecticide"
"53112-28-0","2744",2744,"Fungicide"
"58-14-0","2743",2743,NA
"65-23-6","2742",2742,NA
"96489-71-3","2741",2741,"Insecticide"
"6217-22-7","2740",2740,"PAH_Oxy"
"129-00-0","2739",2739,"PAH_Parent"
"129630-19-9","2737",2737,"Herbicide"
"175013-18-0","2736",2736,NA
"123312-89-0","2735",2735,NA
"23950-58-5","2727",2727,"Herbicide"
"94-13-3","2726",2726,NA
"103-65-1","2724",2724,NA
"121-79-9","2723",2723,NA
"181274-15-7","2721",2721,NA
"114-26-1","2720",2720,"Insecticide"
"60207-90-1","2718",2718,"Fungicide"
"31218-83-4","2717",2717,"Insecticide"
"139-40-2","2716",2716,"Herbicide"
"2312-35-8","2715",2715,"General Pesticide"
"34590-94-8","2712",2712,NA
"709-98-8","2711",2711,"Herbicide"
"261947-38-0","2710",2710,NA
"25606-41-1","2709",2709,NA
"7287-19-6","2708",2708,"Herbicide"
"1610-18-0","2707",2707,"Herbicide"
"57-83-0","2706",2706,NA
"41198-08-7","2705",2705,"Insecticide"
"29091-21-2","2704",2704,"Herbicide"
"32809-16-8","2703",2703,"Fungicide"
"67747-09-5","2702",2702,"Fungicide"
"53-03-2","2701",2701,NA
"81131-70-6","2694",2694,NA
"23031-36-9","2691",2691,"Insecticide"
"72-55-9","2688",2688,"Insecticide"
"72-54-8","2687",2687,"Insecticide"
"2795-39-3","2686",2686,"EPA PFAS"
"2795-39-3","C59898",2686,"EPA PFAS"
"3871-99-6","2685",2685,NA
"3871-99-6","C222309",2685,"EPA PFAS"
"29420-49-3","2684",2684,NA
"NOCAS_47328","2683",2683,NA
"50892-23-4","2661",2661,NA
"29232-93-7","2660",2660,"Insecticide"
"23103-98-2","2659",2659,"Insecticide"
"625114-41-2","2658",2658,NA
"51-03-6","2657",2657,"Insecticide"
"110-85-0","2656",2656,NA
"112529-15-4","2655",2655,NA
"117428-22-5","2653",2653,"Fungicide"
"6607","2652",2652,NA
"78-51-3","2651",2651,"Flame Retardant"
"732-11-6","2650",2650,"Insecticide"
"2310-17-0","2647",2647,"Insecticide"
"298-02-2","2645",2645,"Insecticide"
"62-38-4","2644",2644,NA
"92-84-2","2643",2643,"Fungicide"
"81-90-3","2642",2642,NA
"77-09-8","2641",2641,NA
"68937-41-7","2640",2640,NA
"108-95-2","2638",2638,"Pharmacological"
"57-30-7","2637",2637,NA
"50-06-6","2636",2636,NA
"85-01-8","2635",2635,"PAH_Parent"
"94-18-8","2623",2623,NA
"52645-53-1","2602",2602,"Insecticide"
"548-39-0","2601",2601,"PAH_Oxy"
"2058-94-8","2600",2600,NA
"2058-94-8","C79213",2600,"EPA PFAS"
"72629-94-8","C942208",2599,"EPA PFAS"
"376-06-7","C628617",2598,"EPA PFAS"
"2706-90-3","C313315",2597,"EPA PFAS"
"335-67-1","2596",2596,NA
"335-67-1","C80695",2596,"EPA PFAS"
"1763-23-1","C591669",2595,"EPA PFAS"
"754-91-6","2594",2594,NA
"754-91-6","C754644",2594,"EPA PFAS"
"1763-23-1","2593",2593,NA
"375-95-1","2590",2590,NA
"375-95-1","C850268",2590,"EPA PFAS"
"307-24-4","2589",2589,NA
"307-24-4","C272788",2589,"EPA PFAS"
"3871-99-6","2588",2588,NA
"375-85-9","2587",2587,NA
"375-85-9","C891393",2587,"EPA PFAS"
"335-76-2","2585",2585,NA
"335-76-2","C505277",2585,"EPA PFAS"
"29420-49-3","2582",2582,NA
"628-63-7","2580",2580,NA
"6624-73-3","2579",2579,NA
"110-62-3","2578",2578,NA
"140-64-7","2577",2577,NA
"115-77-5","2576",2576,NA
"629-62-9","2575",2575,NA
"2176-62-7","2574",2574,NA
"87-86-5","2573",2573,"Fungicide"
"82-68-8","2572",2572,"Fungicide"
"219714-96-2","2569",2569,NA
"40487-42-1","2568",2568,"Herbicide"
"99-87-6","2558",2558,NA
"101-55-3","2554",2554,"Flame Retardant"
"56-38-2","2532",2532,"Insecticide"
"NOCAS_0007","2509",2509,NA
"76738-62-0","2507",2507,"Herbicide"
"2058-46-0","2506",2506,NA
"6153-64-6","2505",2505,NA
"42874-03-3","2498",2498,"Herbicide"
"23135-22-0","2496",2496,"Insecticide"
"19666-30-9","2495",2495,"Herbicide"
"19044-88-3","2491",2491,"Herbicide"
"789-02-6","2490",2490,"Insecticide"
"2104-64-5","2485",2485,"Insecticide"
"1034-01-1","2484",2484,NA
"3147-75-9","2483",2483,NA
"26530-20-1","2480",2480,NA
"124-07-2","2479",2479,NA
"124-13-0","2478",2478,NA
"556-67-2","2477",2477,NA
"57-11-4","2476",2476,NA
"1843-05-6","2475",2475,NA
"88-12-0","2467",2467,NA
"101-54-2","2465",2465,NA
"116714-46-6","2435",2435,NA
"797-63-7","2434",2434,NA
"27314-13-2","2433",2433,"Herbicide"
"68-22-4","2432",2432,NA
"112-05-0","2429",2429,NA
"3033-77-0","2421",2421,NA
"102-60-3","2420",2420,NA
"110-26-9","2419",2419,NA
"621-64-7","2417",2417,NA
"86-30-6","2416",2416,NA
"62-75-9","2415",2415,NA
"55-18-5","2414",2414,NA
"924-16-3","2413",2413,NA
"7378-99-6","2412",2412,NA
"68-12-2","2411",2411,NA
"2605-79-0","2410",2410,NA
"121-69-7","2409",2409,NA
"100-37-8","2408",2408,NA
"91-66-7","2407",2407,NA
"134-62-3","2406",2406,"Insecticide"
"99-97-8","2405",2405,NA
"4455-26-9","2404",2404,NA
"79-16-3","2403",2403,NA
"872-50-4","2401",2401,NA
"59-87-0","2374",2374,NA
"67-20-9","2373",2373,NA
"1836-75-5","2372",2372,"Herbicide"
"98-95-3","2371",2371,NA
"139-13-9","2369",2369,NA
"1929-82-4","2367",2367,"Fungicide"
"63612-50-0","2362",2362,NA
"59-67-6","2361",2361,NA
"54-11-5","2360",2360,"Insecticide"
"50-65-7","2359",2359,NA
"110-54-3","2358",2358,NA
"103-69-5","2354",2354,NA
"263553-33-9","2353",2353,NA
"102-27-2","2352",2352,NA
"4151-50-2","2347",2347,NA
"439687-69-1","2345",2345,NA
"220860-50-4","2330",2330,NA
"15299-99-7","2329",2329,"Herbicide"
"207-18-1","2328",2328,"PAH_Parent"
"205-83-4","2327",2327,"PAH_Parent"
"193-09-9","2326",2326,"PAH_Parent"
"206-06-4","2325",2325,"PAH_Parent"
"111189-32-3","2324",2324,"PAH_Parent"
"91-20-3","2323",2323,"PAH_Parent"
"NOCAS_47351","2270",2270,NA
"300-76-5","2269",2269,"Insecticide"
"864283-48-7","2259",2259,NA
"NOCAS_47334","2258",2258,NA
"194098-25-4","2257",2257,NA
"NOCAS_47265","2256",2256,NA
"NOCAS_47374","2255",2255,NA
"NOCAS_48176","2254",2254,NA
"3855-32-1","2253",2253,NA
"NOCAS_47387","2252",2252,NA
"NOCAS_47364","2251",2251,NA
"NOCAS_47248","2250",2250,NA
"NOCAS_47291","2249",2249,NA
"478149-53-0","2248",2248,NA
"527680-56-4","2247",2247,NA
"313994-79-5","2246",2246,NA
"155990-20-8","2245",2245,NA
"85532-75-8","2244",2244,NA
"1068967-96-3","2243",2243,NA
"210826-40-7","2242",2242,NA
"123-35-3","2241",2241,NA
"88671-89-0","2240",2240,"Fungicide"
"36913-39-0","2192",2192,NA
"150-68-5","2191",2191,NA
"4376-18-5","2189",2189,NA
"6923-22-4","2188",2188,"Insecticide"
"131-70-4","2187",2187,NA
"2528-16-7","2186",2186,NA
"4376-20-9","2185",2185,NA
