Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,Modeled_Flag,DataQC_Flag,BMD10_Flag,BMD50_Flag,NumConc,Spearman_Correlation,bmdrc.Endpoint.ID
2329,ANY120,Weibull,10.874553365670074,1.2355998868122198,52.42765646147295,28.0314,0.0,64.0,0.437990625,Pass,Good,Pass,Pass,5.0,0.7715167498104596,2329 ANY120
4066,AXIS,Log Logistic,3.8636977542315183,2.125033764827335,4.657224730589507,92.835,0.0,100.0,0.9283499999999999,Pass,Good,Pass,Pass,10.0,0.9045340337332909,4066 AXIS
1652,ANY120,Log Probit,0.14121496165487984,0.020141059716499224,1.8873806185414144,56.394000000000005,0.0,64.0,0.8811562500000001,Pass,Good,Pass,Pass,5.0,0.9428571428571428,1652 ANY120
3149,TOT_MORT,Log Logistic,2.5398852654815247,1.7077876000152994,5.312403911647955,70.428125,0.0,80.0,0.8803515624999999,Pass,Good,Pass,Pass,9.0,0.8657186108113172,3149 TOT_MORT
3149,AXIS,Log Logistic,1.1058847984911997,0.6427415408418335,4.773677987882626,17.282291666666666,0.0,80.0,0.2160286458333333,Pass,Good,Pass,Pass,9.0,0.9856107606091623,3149 AXIS
3149,ANY24,Log Logistic,3.972141950335058,2.9422555364542395,7.332965886713689,67.4375,0.0,80.0,0.84296875,Pass,Good,Pass,Pass,9.0,0.8816806132678185,3149 ANY24
1652,EDEM,Gamma,0.3719287459707664,0.05517185206343694,24.996695034837302,34.0582,0.0,64.0,0.532159375,Pass,Good,Pass,Pass,5.0,0.8285714285714286,1652 EDEM
3149,ANY120,Log Logistic,1.6994570725622502,0.8484423260943713,3.0584814585644677,75.346875,0.0,80.0,0.9418359374999999,Pass,Good,Pass,Pass,9.0,0.9049087953771016,3149 ANY120
155,LTRK,Gamma,3.087223371522548,1.3343799455428513,23.422145185077063,25.049999999999997,0.0,50.0,0.5009999999999999,Pass,Good,Pass,Pass,5.0,0.9856107606091623,155 LTRK
155,EDEM,Log Logistic,2.516475719817243,1.3293209265059982,14.854411991872466,29.200000000000003,0.0,50.0,0.5840000000000001,Pass,Good,Pass,Pass,5.0,0.9710083124552245,155 EDEM
155,CRAN,Log Logistic,3.310394019513727,1.82071671073255,17.999099046897808,26.525,0.0,50.0,0.5305,Pass,Good,Pass,Pass,5.0,0.9276336570439175,155 CRAN
155,BRN_,Log Logistic,3.0482324292192624,1.620266514867231,18.046489738808756,27.475,0.0,50.0,0.5495,Pass,Good,Pass,Pass,5.0,0.9276336570439175,155 BRN_
4082,ANY120,Log Logistic,4.524767562147755,2.8127351481300327,6.865915202985011,92.84189285714285,0.0,100.0,0.9284189285714285,Pass,Good,Pass,Pass,10.0,0.8664221612003404,4082 ANY120
1830,ANY120,Gamma,9.526281184100247,5.239454651255135,15.34563581907671,53.0625,0.0,67.0,0.7919776119402985,Pass,Good,Pass,Pass,7.0,0.8982196964349443,1830 ANY120
247,MO24,Gamma,10.087217073023186,7.735585338885041,18.022943736206184,29.0875,0.0,50.0,0.58175,Pass,Good,Pass,Pass,5.0,0.9428571428571428,247 MO24
248,ANY120,Log Logistic,4.15654058518128,2.286097321849704,4.819453689687498,45.34375,0.0,50.0,0.906875,Pass,Good,Pass,Pass,5.0,0.9258200997725515,248 ANY120
1817,ALL_BUT_MORT,Gamma,4.688046055249389,0.9931195220068103,26.43281204972101,33.232,0.0,64.0,0.51925,Pass,Good,Pass,Pass,5.0,0.8116794499134278,1817 ALL_BUT_MORT
1216,AXIS,Logistic,10.009869147351143,8.32510259701328,15.938603598078625,4.916666666666667,0.0,34.0,0.14460784313725492,Pass,Good,Pass,Pass,7.0,0.8794653965640157,1216 AXIS
4111,AXIS,Log Logistic,1.2697875840701467,0.6983831712385806,1.624727530754904,8.840833333333332,0.0,100.0,0.08840833333333332,Pass,Good,Pass,Pass,10.0,0.8366600265340756,4111 AXIS
4111,TOT_MORT,Gamma,0.8597534623636139,0.47286440429998766,4.254332144347082,95.91164285714285,0.0,100.0,0.9591164285714285,Pass,Good,Pass,Pass,10.0,0.8249636329874861,4111 TOT_MORT
4775,TOT_MORT,Gamma,12.78815585995089,6.628860478966731,64.86523452425357,45.55345238095238,0.0,100.0,0.4555345238095238,Pass,Good,Pass,Pass,12.0,0.8642957727314028,4775 TOT_MORT
4775,AXIS,Gamma,11.406352888289522,7.729642019537408,25.125703347876364,72.3387554112554,0.0,100.0,0.7233875541125541,Pass,Good,Pass,Pass,12.0,0.9278350533143189,4775 AXIS
4775,ANY120,Gamma,9.278072871131359,6.350587182984345,20.710312434205846,78.30119047619047,0.0,100.0,0.7830119047619047,Pass,Good,Pass,Pass,12.0,0.9152316486811206,4775 ANY120
4775,ALL_BUT_MORT,Gamma,10.31495449910585,4.712241908868864,77.39989057824366,32.74773809523809,0.0,100.0,0.32747738095238094,Pass,Good,Pass,Pass,12.0,0.8698361302489118,4775 ALL_BUT_MORT
1220,ANY120,Log Logistic,4.122628717775357,2.2674457947764464,4.706511257309667,29.166666666666664,0.0,34.0,0.8578431372549019,Pass,Good,Pass,Pass,7.0,0.8647908694379515,1220 ANY120
1220,ANY24,Log Logistic,4.498039752880005,2.473921864084003,5.067636269691974,28.041666666666664,0.0,34.0,0.8247549019607843,Pass,Good,Pass,Pass,7.0,0.9452300860699548,1220 ANY24
4774,ANY120,Log Logistic,1.8703406066605759,0.21497957949604474,64.64891486719212,41.94916666666666,0.0,100.0,0.41949166666666665,Pass,Good,Pass,Pass,12.0,0.8263900882539128,4774 ANY120
1220,MO24,Log Logistic,3.3801056875199733,2.3967722067463404,7.89473114121051,25.3125,0.0,34.0,0.7444852941176471,Pass,Good,Pass,Pass,7.0,0.9700772721497398,1220 MO24
1457,TOT_MORT,Log Logistic,22.774279374435668,12.525853655939617,24.56389927239348,60.5875,0.0,80.0,0.75734375,Pass,Good,Pass,Pass,9.0,0.8719919340780659,1457 TOT_MORT
1220,TOT_MORT,Log Logistic,4.464326162808623,2.455379389544743,5.008486070731218,28.0,0.0,34.0,0.8235294117647058,Pass,Good,Pass,Pass,7.0,0.8961272244559313,1220 TOT_MORT
412,ALL_BUT_MORT,Probit,15.112298390827073,13.154820385149996,40.91716906737539,14.587499999999999,0.0,50.0,0.29174999999999995,Pass,Good,Pass,Pass,5.0,1.0,412 ALL_BUT_MORT
4768,TOT_MORT,Log Logistic,33.57278766346786,17.96340855548246,72.78612931120581,33.86857142857142,0.0,100.0,0.3386857142857142,Pass,Good,Pass,Pass,12.0,0.7940046214576216,4768 TOT_MORT
4768,ANY120,Probit,24.777630808760843,20.204415747378228,75.84170151735927,36.62488095238095,0.0,100.0,0.3662488095238095,Pass,Good,Pass,Pass,12.0,0.7198963502427695,4768 ANY120
1216,ANY120,Gamma,9.432001976423164,5.18760108703274,12.996969749789544,21.458333333333332,0.0,34.0,0.6311274509803921,Pass,Good,Pass,Pass,7.0,0.8244377203267416,1216 ANY120
247,TOT_MORT,Log Logistic,4.174806565712189,2.834608041968303,8.449744196137779,38.5875,0.0,50.0,0.7717499999999999,Pass,Good,Pass,Pass,5.0,0.9276336570439175,247 TOT_MORT
1817,ANY120,Quantal Linear,1.6595850418574383,1.0451415076834134,10.918100442853081,43.2314,0.0,64.0,0.675490625,Pass,Good,Pass,Pass,5.0,0.898645105261295,1817 ANY120
1817,ANY24,Quantal Linear,3.414276821145014,2.3684878319339457,22.461890371851513,37.2676,0.0,64.0,0.58230625,Pass,Good,Pass,Pass,5.0,0.8285714285714286,1817 ANY24
248,AXIS,Logistic,6.04620592761555,3.3254132601885527,8.79116476687909,0.16666666666666666,0.0,50.0,0.003333333333333333,Pass,Good,Pass,Pass,5.0,0.8660254037844387,248 AXIS
1213,MO24,Log Logistic,7.720907440423277,4.438202287225734,26.74244944231099,33.375,0.0,67.0,0.498134328358209,Pass,Good,Pass,Pass,7.0,0.9697815168769667,1213 MO24
248,TOT_MORT,Log Logistic,4.496363337467229,2.472999835606976,5.178887567327965,44.20625,0.0,50.0,0.8841249999999999,Pass,Good,Pass,Pass,5.0,0.9258200997725515,248 TOT_MORT
4100,TOT_MORT,Log Logistic,1.4608182340624802,0.8239927851508677,2.2653280288454227,97.21225,0.0,100.0,0.9721225,Pass,Good,Pass,Pass,10.0,0.7656718029266842,4100 TOT_MORT
1214,ANY120,Gamma,7.702183528628947,4.2362009407459205,10.613340262135939,24.708333333333332,0.0,34.0,0.7267156862745098,Pass,Good,Pass,Pass,7.0,0.7711403083390078,1214 ANY120
1214,ANY24,Logistic,9.37568893066541,7.863584412208972,27.804357209380502,10.5625,0.0,34.0,0.31066176470588236,Pass,Good,Pass,Pass,7.0,0.7075275528876865,1214 ANY24
3114,TOT_MORT,Gamma,5.822830471571474,3.304911201247403,47.879335142737496,32.19375,0.0,80.0,0.40242187500000004,Pass,Good,Pass,Pass,15.0,0.8997089292248,3114 TOT_MORT
1214,TOT_MORT,Log Logistic,9.086981973972458,4.997840085684852,10.025769172383523,22.979166666666664,0.0,34.0,0.6758578431372548,Pass,Good,Pass,Pass,7.0,0.7711403083390078,1214 TOT_MORT
4107,ALL_BUT_MORT,Gamma,0.8207185594627908,0.2061414194275682,30.634638014181224,46.696,0.0,100.0,0.46696,Pass,Good,Pass,Pass,10.0,0.9347772317939274,4107 ALL_BUT_MORT
