"X_vals","Y_vals","End Point Name","endPointLink","Sample_ID"
0.000755555555555556,0.354607021713133,"Any effect",NA,"1004-4"
0.000933333333333333,0.3719524880714,"Any effect",NA,"1004-1"
0.000933333333333333,0.3719524880714,"Any effect",NA,"1004-2"
0.000933333333333333,0.3719524880714,"Any effect",NA,"1004-3"
0.000933333333333333,0.3719524880714,"Any effect",NA,"1004-4"
0.00111111111111111,0.387215297312266,"Any effect",NA,"1004-1"
0.00111111111111111,0.387215297312266,"Any effect",NA,"1004-2"
0.00111111111111111,0.387215297312266,"Any effect",NA,"1004-3"
0.00111111111111111,0.387215297312266,"Any effect",NA,"1004-4"
0.00128888888888889,0.400901002355583,"Any effect",NA,"1004-1"
0.00128888888888889,0.400901002355583,"Any effect",NA,"1004-2"
0.00128888888888889,0.400901002355583,"Any effect",NA,"1004-3"
