Chemical_ID,End_Point,BMD10_call
129,NC24,0
129,NC__,0
129,SKIN,0
129,SM24,0
129,TCHR,0
129,TOT_MORT,1
155,ALL_BUT_MORT,1
155,ANY120,1
155,ANY24,1
155,AXIS,1
155,BRN_,1
155,CRAN,1
155,DP24,0
155,EDEM,1
155,LTRK,1
155,MO24,1
155,MORT,1
155,MUSC,1
155,NC24,0
155,NC__,1
155,SKIN,0
155,SM24,0
155,TCHR,1
155,TOT_MORT,1
163,ALL_BUT_MORT,1
163,ANY120,1
163,ANY24,1
163,AXIS,1
163,BRN_,1
163,CRAN,1
163,DP24,0
163,EDEM,1
163,LTRK,1
163,MO24,1
163,MORT,1
163,MUSC,1
163,NC24,0
163,NC__,0
163,SKIN,1
163,SM24,0
163,TCHR,1
163,TOT_MORT,1
165,ALL_BUT_MORT,0
165,ANY120,0
165,ANY24,1
165,AXIS,0
165,BRN_,0
165,CRAN,0
165,DP24,0
165,EDEM,0
165,LTRK,0
165,MO24,1
165,MORT,1
165,MUSC,0
165,NC24,0
165,NC__,0
165,SKIN,0
165,SM24,0
165,TCHR,0
165,TOT_MORT,1
172,ALL_BUT_MORT,0
172,ANY120,0
172,ANY24,0
172,AXIS,0
172,BRN_,0
172,CRAN,0
172,DP24,0
172,EDEM,1
172,LTRK,0
172,MO24,0
172,MORT,0
172,MUSC,0
172,NC24,0
172,NC__,0
172,SKIN,0
172,SM24,1
172,TCHR,0
172,TOT_MORT,0
176,ALL_BUT_MORT,1
176,ANY120,0
176,ANY24,0
176,AXIS,0
176,BRN_,0
176,CRAN,0
176,DP24,1
176,EDEM,0
176,LTRK,0
176,MO24,0
176,MORT,0
176,MUSC,0
176,NC24,0
176,NC__,0
176,SKIN,0
176,SM24,0
176,TCHR,0
176,TOT_MORT,0
197,ALL_BUT_MORT,1
197,ANY120,1
197,ANY24,1
197,AXIS,0
197,BRN_,0
197,CRAN,0
197,DP24,1
197,EDEM,0
197,LTRK,0
197,MO24,0
197,MORT,1
197,MUSC,0
197,NC24,0
197,NC__,0
197,SKIN,0
197,SM24,0
197,TCHR,1
197,TOT_MORT,1
220,ALL_BUT_MORT,1
220,ANY120,1
220,ANY24,1
220,AXIS,1
220,BRN_,0
220,CRAN,0
220,DP24,1
220,EDEM,0
220,LTRK,0
220,MO24,1
220,MORT,1
220,MUSC,0
220,NC24,0
220,NC__,0
220,SKIN,0
220,SM24,0
220,TCHR,1
220,TOT_MORT,1
227,ALL_BUT_MORT,1
227,ANY120,1
227,ANY24,1
227,AXIS,1
227,BRN_,1
227,CRAN,1
227,DP24,1
227,EDEM,1
227,LTRK,1
227,MO24,1
227,MORT,1
227,MUSC,1
227,NC24,0
227,NC__,0
227,SKIN,1
227,SM24,0
227,TCHR,1
227,TOT_MORT,1
246,ALL_BUT_MORT,1
246,ANY120,1
246,ANY24,1
246,AXIS,1
246,BRN_,0
246,CRAN,0
246,DP24,1
246,EDEM,1
246,LTRK,1
246,MO24,1
246,MORT,1
246,MUSC,0
246,NC24,0
246,NC__,0
246,SKIN,0
246,SM24,0
246,TCHR,1
246,TOT_MORT,1
247,ALL_BUT_MORT,1
247,ANY120,1
247,ANY24,1
247,AXIS,1
247,BRN_,1
247,CRAN,1
247,DP24,1
247,EDEM,1
247,LTRK,0
247,MO24,1
247,MORT,1
247,MUSC,0
247,NC24,0
247,NC__,0
247,SKIN,0
247,SM24,0
247,TCHR,1
247,TOT_MORT,1
248,ALL_BUT_MORT,1
248,ANY120,1
248,ANY24,1
248,AXIS,1
248,BRN_,0
248,CRAN,1
248,DP24,0
248,EDEM,1
248,LTRK,0
248,MO24,1
248,MORT,1
248,MUSC,0
248,NC24,0
248,NC__,0
248,SKIN,0
248,SM24,0
248,TCHR,0
248,TOT_MORT,1
250,ALL_BUT_MORT,1
250,ANY120,0
250,ANY24,1
250,AXIS,1
250,BRN_,0
250,CRAN,0
250,DP24,1
250,EDEM,0
250,LTRK,1
250,MO24,1
250,MORT,0
250,MUSC,0
250,NC24,0
250,NC__,0
250,SKIN,0
250,SM24,0
250,TCHR,0
250,TOT_MORT,0
251,ALL_BUT_MORT,0
251,ANY120,0
251,ANY24,0
251,AXIS,0
251,BRN_,0
251,CRAN,0
251,DP24,0
251,EDEM,0
251,LTRK,0
251,MO24,0
251,MORT,0
251,MUSC,0
251,NC24,0
251,NC__,0
251,SKIN,0
251,SM24,0
251,TCHR,0
251,TOT_MORT,0
252,ALL_BUT_MORT,0
252,ANY120,0
252,ANY24,0
252,AXIS,0
252,BRN_,0
252,CRAN,0
252,DP24,0
252,EDEM,0
252,LTRK,0
252,MO24,0
252,MORT,1
252,MUSC,0
252,NC24,0
252,NC__,0
252,SKIN,0
252,SM24,0
252,TCHR,1
252,TOT_MORT,0
281,ALL_BUT_MORT,1
281,ANY120,1
281,ANY24,1
281,AXIS,1
281,BRN_,1
281,CRAN,1
281,DP24,1
281,EDEM,1
281,LTRK,1
281,MO24,0
281,MORT,1
281,MUSC,1
281,NC24,0
281,NC__,0
281,SKIN,0
281,SM24,0
281,TCHR,1
281,TOT_MORT,0
283,ALL_BUT_MORT,0
283,ANY120,1
283,ANY24,0
283,AXIS,1
283,BRN_,0
283,CRAN,1
283,DP24,0
