Chemical_ID,End_Point,Dose,Response,CI_Lo,CI_Hi
2381-16-0,MMP,0.0,99.9999875,85.93600102,114.06397398
2381-16-0,MMP,10.0,209.599675,166.72040016,252.47894984
2381-16-0,MMP,20.0,220.48205000000002,146.9001191,294.0639809
2381-16-0,MMP,50.0,183.662825,161.39784627,205.92780373
2381-16-0,MMP,100.0,226.55689999999998,187.41988125,265.69391875
2381-19-3,CC,0.0,100.0000000000001,60.48792875,139.51207125
2381-19-3,CC,0.2,97.9731508291656,90.7802497,105.16605196
2381-19-3,CC,2.0,103.76414846012099,98.5979155,108.93038142
2381-19-3,CC,10.0,108.5548828639115,98.76864672,118.341119
2381-19-3,CC,50.0,102.4216899183996,65.11114324,139.7322366
2381-19-3,DCFDA,0.0,100.00000000000007,97.51041744,102.48958256
2381-19-3,DCFDA,10.0,100.12076926980265,97.53257872,102.70895982
2381-19-3,DCFDA,20.0,96.13538336631655,94.08779641,98.18297032
2381-19-3,DCFDA,50.0,105.656873192267,99.28060495,112.03314143
2381-19-3,DCFDA,100.0,97.56634698330538,94.18010843,100.95258554
2381-19-3,LDH,0.0,100.0,73.48750357,126.51249643
2381-19-3,LDH,10.0,109.7560975609755,64.71828515,154.79390998
2381-19-3,LDH,20.0,84.14634146341464,76.71473083,91.5779521
2381-19-3,LDH,50.0,99.99999999999994,79.46350857,120.53649143
2381-19-3,LDH,100.0,189.0243902439025,161.85716569,216.1916148
2381-19-3,MMP,0.0,105.52682796585066,92.31434746,118.73930847
2381-19-3,MMP,10.0,75.45300590629083,68.48267311,82.4233387
2381-19-3,MMP,20.0,91.90198933471672,81.33728848,102.46669019
2381-19-3,MMP,50.0,888.7968556733713,743.35585224,1034.23785911
2381-19-3,MMP,100.0,785.4578231290137,681.39800855,889.5176377
2381-21-7,CC,0.0,99.99999999999994,86.82398297,113.17601703
2381-21-7,CC,2.0,98.26298262982638,82.2083713,114.31759396
2381-21-7,CC,10.0,100.35100351003504,80.81034852,119.8916585
2381-21-7,CC,50.0,125.06525065250675,114.87216441,135.25833689
2381-21-7,CC,150.0,134.00234002340017,103.34003644,164.66464361
2381-21-7,DCFDA,0.0,100.0000000000001,98.58119208,101.41880792
2381-21-7,DCFDA,4.0,100.85350374228557,93.80189576,107.90511172
2381-21-7,DCFDA,20.0,97.56204315665077,96.37136889,98.75271743
2381-21-7,DCFDA,100.0,91.4286964840648,90.43128563,92.42610734
2381-21-7,DCFDA,300.0,92.74553082930552,92.16500523,93.32605642
2381-21-7,LDH,0.0,99.99999999999997,75.05707236,124.94292764
2381-21-7,LDH,4.0,91.23505976095628,69.90927183,112.5608477
2381-21-7,LDH,20.0,103.18725099601593,82.9098228,123.46467919
2381-21-7,LDH,100.0,76.49402390438247,52.30199471,100.6860531
2381-21-7,LDH,300.0,252.324037184595,167.80759846,336.84047591
2381-21-7,MMP,0.0,99.99999999999994,93.28998206,106.71001794
2381-21-7,MMP,4.0,96.34752871719598,87.58647788,105.10857955
2381-21-7,MMP,20.0,100.77653573517163,91.52261001,110.03046146
2381-21-7,MMP,100.0,85.88135124775022,78.74951699,93.01318551
2381-21-7,MMP,300.0,309.5335148386613,193.29242382,425.77460586
2381-31-9,CC,0.0,99.99999999999991,67.2474114,132.7525886
2381-31-9,CC,0.2,110.74355535687664,48.14350325,173.34360746
2381-31-9,CC,2.0,130.3084488153775,102.49054597,158.12635166
2381-31-9,CC,10.0,118.40262255997618,88.82452547,147.98071965
2381-31-9,CC,50.0,141.7225450752495,103.8165941,179.62849605
2381-31-9,DCFDA,0.0,99.9999999999999,92.79601731,107.20398269
2381-31-9,DCFDA,10.0,96.19569239878618,94.05350738,98.33787741
2381-31-9,DCFDA,20.0,101.25885081291774,99.45449725,103.06320438
2381-31-9,DCFDA,50.0,98.56968396121687,94.07429889,103.06506903
2381-31-9,DCFDA,100.0,105.380800828954,103.42632794,107.33527372
2381-31-9,LDH,0.0,100.00000000000003,66.56533423,133.43466577
2381-31-9,LDH,10.0,131.1258278145695,93.03358464,169.21807099
2381-31-9,LDH,20.0,113.90728476821201,91.86988084,135.9446887
2381-31-9,LDH,50.0,155.62913907284775,130.72161712,180.53666102
2381-31-9,LDH,100.0,211.2582781456955,188.07489446,234.44166183
2381-31-9,MMP,0.0,100.00000000000007,52.56827565,147.43172435
2381-31-9,MMP,10.0,179.8891292071235,137.69100867,222.08724975
2381-31-9,MMP,20.0,230.58465822330402,73.61856935,387.5507471
2381-31-9,MMP,50.0,490.27055318051976,79.46573704,901.07536932
2381-31-9,MMP,100.0,755.6577992941325,643.51862994,867.79696865
2381-39-7,CC,0.0,99.99999999999997,67.76804845,132.23195155
2381-39-7,CC,0.2,158.78836833602577,132.63317794,184.94355873
2381-39-7,CC,2.0,165.0403877221325,136.90465594,193.1761195
2381-39-7,CC,10.0,172.76252019386075,147.40033286,198.12470753
2381-39-7,CC,25.0,168.33602584814224,154.90428299,181.76776871
2381-39-7,DCFDA,0.0,99.999995,90.99306188,109.00692812
2381-39-7,DCFDA,2.0,97.6767775,94.46935678,100.88419822
2381-39-7,DCFDA,10.0,107.850275,100.39254437,115.30800563
2381-39-7,DCFDA,25.0,101.900795,97.91213691,105.88945309
2381-39-7,DCFDA,50.0,119.3909,114.77298937,124.00881063
2381-39-7,LDH,0.0,100.0,90.74729506,109.25270494
2381-39-7,LDH,2.0,144.230769225,102.40127657,186.06026188
2381-39-7,LDH,25.0,129.3956044,96.11479395,162.67641485
2381-39-7,LDH,50.0,193.68131870000002,75.96230205,311.40033535
2381-39-7,MMP,0.0,100.00000000000013,84.70146969,115.29853031
2381-39-7,MMP,2.0,102.0420832175,79.39860357,124.68556287
2381-39-7,MMP,10.0,125.237271225,105.01167293,145.46286952
2381-39-7,MMP,25.0,110.989208425,95.9508883,126.02752855
2381-39-7,MMP,50.0,93.9121077975,76.39194522,111.43227038
2498-75-1,CC,0.0,100.0000000000002,72.31199395,127.68800605
2498-75-1,CC,0.2,117.04434565759524,99.18256832,134.90612299
2498-75-1,CC,2.0,114.138566626911,107.65902328,120.61810997
2498-75-1,CC,10.0,137.82933969424278,94.73844965,180.92022974
2498-75-1,CC,50.0,148.3356825327985,121.20988423,175.46148084
2498-75-1,DCFDA,0.0,100.00000000000006,96.0653953,103.9346047
2498-75-1,DCFDA,10.0,96.9464403830994,94.84114779,99.05173298
2498-75-1,DCFDA,20.0,108.02805288004126,104.60095558,111.45515018
2498-75-1,DCFDA,50.0,111.61893025742324,101.99843057,121.23942994
2498-75-1,DCFDA,100.0,123.61932894176475,116.59003101,130.64862687
2498-75-1,LDH,0.0,100.0000000075,65.55334844,134.44665158
2498-75-1,LDH,10.0,105.95238094749999,70.75007985,141.15468205
2498-75-1,LDH,20.0,120.2380952225,56.12927965,184.34691079
2498-75-1,LDH,50.0,128.571428575,93.03096123,164.11189592
2498-75-1,LDH,100.0,146.4285714,110.15523376,182.70190904
2498-75-1,MMP,0.0,100.00000000000007,52.56827565,147.43172435
2498-75-1,MMP,10.0,203.72262225250074,117.01588082,290.42936368
2498-75-1,MMP,20.0,205.236484603085,79.39200704,331.08096216
2498-75-1,MMP,50.0,198.23734117642576,112.79472827,283.67995408
2498-75-1,MMP,100.0,571.402832314462,305.9698668,836.83579782
2498-77-3,CC,0.0,100.00000000000004,91.28569323,108.71430677
2498-77-3,CC,0.2,93.29755023396638,55.03514579,131.55995468
2498-77-3,CC,2.0,82.7552986512524,63.28739311,102.22320419
2498-77-3,CC,10.0,98.05945499587125,77.020736,119.09817399
2498-77-3,CC,50.0,201.3900357830995,161.76981193,241.01025964
2498-77-3,DCFDA,0.0,100.00000000000003,92.62653639,107.37346361
2498-77-3,DCFDA,10.0,99.36687026928303,96.4255973,102.30814324
2498-77-3,DCFDA,20.0,110.1219586436413,90.15480434,130.08911295
2498-77-3,DCFDA,50.0,99.17611964528496,90.64932338,107.70291591
2498-77-3,DCFDA,100.0,105.37145640130674,99.58416489,111.15874792
2498-77-3,LDH,0.0,100.0000000075,87.94367196,112.05632806
2498-77-3,LDH,10.0,82.22222222222223,73.3820936,91.06235085
2498-77-3,LDH,20.0,99.5833333333334,80.65946922,118.50719745
2498-77-3,LDH,50.0,119.58333333333326,101.80939789,137.35726878
2498-77-3,LDH,100.0,236.66666666666677,133.72565574,339.60767759
2498-77-3,MMP,0.0,99.99999999999994,81.70251468,118.29748532
2498-77-3,MMP,10.0,92.12245410967545,72.50041266,111.74449556
2498-77-3,MMP,20.0,64.545669490468,51.21174049,77.87959849
2498-77-3,MMP,50.0,208.552652445272,185.61714193,231.48816296
2498-77-3,MMP,100.0,257.33814579935773,215.01620456,299.66008704
2531-84-2,CC,0.0,153.36005907796175,131.58921526,175.13090289
2531-84-2,CC,0.2,128.60006329781623,118.83164814,138.36847845
2531-84-2,CC,2.0,110.80282730245823,97.94080682,123.66484778
2531-84-2,CC,10.0,99.02943348454463,82.99351606,115.06535091
