"bottle_id","chemical_name","chemical_id","casrn","project_name","hasZFData","hasSampleData"
"P53604","A140385",799,NA,NA,FALSE,TRUE
"P53899","A150427",875,NA,NA,FALSE,FALSE
"P55064","A140386",800,NA,NA,FALSE,TRUE
"P56532","A150393",857,NA,NA,FALSE,FALSE
"P56571","A160123",887,NA,NA,FALSE,FALSE
"P56660","A150116",821,NA,NA,FALSE,FALSE
"P58364","A150425",872,NA,NA,FALSE,FALSE
"P59586","A150428",876,NA,NA,FALSE,FALSE
"P61155","A150479",879,NA,NA,FALSE,FALSE
"P62023","A130512",795,NA,NA,TRUE,TRUE
"P64497","A150391",854,NA,NA,FALSE,FALSE
"P64678","A140386",800,NA,NA,FALSE,TRUE
"P68392","A140385",799,NA,NA,FALSE,TRUE
"P68805","A150426",874,NA,NA,FALSE,FALSE
"P72558","A150117",822,NA,NA,FALSE,FALSE
"P73298","A150480",880,NA,NA,FALSE,FALSE
"P75245","A150424",871,NA,NA,FALSE,FALSE
"P75955","10JUN13-01-010_012_014_016",131,NA,NA,FALSE,FALSE
"P78464","A140441",804,NA,NA,FALSE,FALSE
"P82478","A160148",898,NA,NA,FALSE,FALSE
"P86785","A150400",864,NA,NA,FALSE,FALSE
"P88545","A150485",886,NA,NA,FALSE,FALSE
"P92392","A150119",824,NA,NA,FALSE,FALSE
"P95680","A150478",877,NA,NA,FALSE,FALSE
"P96874","A150317",849,NA,NA,FALSE,FALSE
"P98460","A160138",888,NA,NA,FALSE,FALSE
"P98815","A160144",894,NA,NA,FALSE,FALSE
"P99003","A150483",884,NA,NA,FALSE,FALSE
"P99775","A150482",882,NA,NA,FALSE,FALSE
