"Project","cas_number","Conc","Link","nGenes"
"HEPG2","101-21-3","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression",1128
"HEPG2","101-21-3","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression",60
"HEPG2","101-80-4","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression",35
"HEPG2","101-80-4","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression",45
"HEPG2","101-80-4","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression",59
"HEPG2","101-80-4","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression",56
"HEPG2","101-80-4","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression",34
"HEPG2","101-80-4","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression",38
"HEPG2","103-90-2","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression",34
"HEPG2","103-90-2","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression",41
"HEPG2","103-90-2","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression",67
"HEPG2","103-90-2","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression",52
"HEPG2","103-90-2","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression",30
"HEPG2","103-90-2","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression",27
"HEPG2","105-60-2","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression",65
"HEPG2","105-60-2","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression",37
"HEPG2","105-60-2","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression",60
"HEPG2","105-60-2","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression",316
"HEPG2","105-60-2","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression",117
"HEPG2","105-60-2","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression",117
"HEPG2","106-47-8","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression",49
"HEPG2","106-47-8","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression",76
"HEPG2","106-47-8","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression",110
"HEPG2","106-47-8","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression",133
"HEPG2","106-47-8","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression",96
"HEPG2","106-47-8","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression",68
"HEPG2","108-46-3","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression",41
"HEPG2","108-46-3","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression",55
"HEPG2","108-46-3","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression",90
"HEPG2","108-46-3","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression",96
"HEPG2","108-46-3","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression",63
"HEPG2","108-46-3","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression",78
"HEPG2","108-94-1","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression",66
