SampleNumber,date_sampled,sample_matrix,technology,Sample_ID,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,Chemical_ID,measurement_value,water_concentration,water_concentration_unit,bioassay_sample_from_lims,parent_samples_from_lims,child_samples_from_lims
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,569-15-3,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",62,1008.568026,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,573-98-8,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",53,72.20613974,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,5737-13-3,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",596,195.8595295,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,575-43-9,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",66,285.7172645,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,613-06-9,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",286,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,613-12-7,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",404,228.9139264,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,635-12-1,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",58,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,11/1/6373,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",NA,NA,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,779-02-2,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",775,0,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,82-05-3,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",1166,173.7121416,NA,NA,10OCT18-03-005,NA,NA
