chem_lims_num,date_deployed,date_sampled,latitude,longitude,primary_loc,psds_per_ml,sample_matrix,sample_name,sample_parent,secondary_loc,technology,zaap_cid,extract_exp,zf_lims_id,measurement_value,unit,cas_number
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,130-15-4
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,49.572888,pg/ul,132-65-0
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,1576-67-6
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,182.379264,pg/ul,1705-85-7
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,7.8893316,pg/ul,191-24-2
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,191-30-0
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,107.7628704,pg/ul,192-97-2
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,193-39-5
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,139.0056192,pg/ul,205-99-2
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,1124.167891,pg/ul,206-44-0
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,37.757328,pg/ul,207-08-9
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,208-96-8
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,2015.491746,pg/ul,218-01-9
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,2237-14-1
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,91,pg/ul,2498-66-0
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,3074-00-8
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,380,pg/ul,479-79-8
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,483-65-8
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,486-25-9
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,0,pg/ul,491-38-3
10OCT18-03-004,None,2010-10-13 00:00:00+00:00,None,None,LA,5,PSD-Water,10OCT-03-004,None,Grand Isle,LFT - Unfortified,2072,87,10OCT18-03-008,59.908992,pg/ul,50-32-8
