,ALL_BUT_MORT,ANY120,ANY24,AXIS,BRN_,CRAN,DP24,EDEM,LTRK,MO24,MORT,MUSC,NC24,NC__,SKIN,SM24,TCHR,TOT_MORT
2739,0,0,1,0,0,,0,0,0,,0,,,,,,0,1
2740,,0,0,0,0,0,,0,0,0,0,0,,1,,,,0
2743,,,,,,,,,,,,,,,,,,
2751,0,0,1,1,1,1,1,1,1,1,1,,,,,,1,1
2752,,0,,1,1,1,,1,1,,0,1,,,1,,1,0
2770,1,,1,,1,1,1,1,1,,,1,,1,1,,1,
2772,,,1,,,,,,1,,,,,,,,,
2774,0,0,0,0,0,0,0,0,,0,0,1,0,,,0,1,0
2778,0,0,0,0,0,0,0,0,0,1,,0,,,,,,1
2813,,0,0,1,0,1,,0,1,0,0,,,,,,1,0
2827,,,,,,,,,,1,,,,,,,,
2849,,,,,,,,,,,,,,,,,0,
2877,1,,,1,1,1,1,1,1,,,1,,,,,,
2886,,1,1,1,1,1,,,1,1,1,1,,,,,1,1
2893,,,,,,,,,,,,,,,,,,
2896,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,,0,0
2915,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0
2960,1,,,,,1,1,,0,,,,,,,,1,
2973,0,0,1,0,0,0,,0,,1,0,1,,,,,0,0
2989,0,0,0,1,1,1,,0,1,0,0,1,,,1,,1,0
3002,0,0,,0,0,0,,0,0,,1,0,,0,,,0,1
3004,0,0,0,0,0,0,0,0,0,,0,0,,1,,,0,0
3005,0,0,0,0,0,0,0,0,0,,,,,,1,,,
3009,0,0,0,,,,0,,,,0,,,,,,,0
3012,1,0,0,,,,1,,,0,0,,,,,,,0
3015,,,,,,,,,,,,,,,,,,
3022,-1,0,0,0,0,0,0,-1,0,,,0,,-1,0,,0,
3055,,,,,,,,,,,,,,,,,,
3091,1,1,1,,,1,1,1,1,,,,,,,,,
3102,0,0,0,1,1,1,0,0,1,1,1,1,,1,,,1,0
3104,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0
3114,0,0,0,0,0,0,,0,0,0,0,1,,1,,,0,0
3127,,,,,,,,,,,,,,,,,,
3138,,0,0,,,,,0,0,0,0,0,,0,,,0,0
3139,1,,,1,1,,,,1,,,1,,,,,1,
3140,,,,,,,,,1,,,,,,,,1,
3144,0,0,0,1,0,0,0,0,,0,0,1,,,,,0,0
3147,,,,1,,1,,,,,,1,,,,,,
3151,1,,,1,1,1,,1,1,,,,,,,,1,
3160,1,,1,1,1,1,1,,1,1,,1,,,1,,,
3168,,-1,1,,,,,,,1,1,,,,,,,1
3169,,,,,,,,,,,,,,,,,,
3272,1,,,,,,1,,1,,1,1,,,,,1,
3273,0,0,,0,0,0,,0,0,,1,0,,1,,,1,
3411,0,0,,0,0,0,1,0,0,,1,,,1,,,0,1
3412,0,0,0,0,0,0,0,0,0,,0,0,,1,,,0,0
3413,0,0,0,,,,,,,1,0,,,,,,,0
3689,0,1,,1,1,0,1,1,1,,1,1,,1,1,,1,
3690,,,,,,,,,,,,,,,,,,
3757,0,0,0,1,1,1,0,,,0,0,,,1,,,,0
3758,0,0,1,1,0,0,1,0,0,1,1,,,,,,0,1
3759,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1
3760,1,1,,1,1,1,,1,1,,1,1,,,,,1,
